Country name,City name,Airport Code,Airport Name,Country Abbrev.,World Area Code
United States,Pendleton,PDT,Pendleton,US,67
United States,Pensacola,NDP,Ellyson NAS,US,67
United States,Pensacola,NPA,Pensacola NAS,US,67
United States,Pensacola,PNS,Regional,US,67
United States,Pensacola,NUN,Saufley NAS,US,67
United States,Peoria,PIA,Greater Peoria,US,67
United States,Perry,FPY,Perry-Foley,US,67
United States,Perry,PRO,Municipal,US,67
United States,Perry Island,PYL,Perry SPB,US,67
United States,Perryville,KPV,Perryville SPB,US,67
United States,Peru,VYS,Illinois Valley Regnl,US,67
United States,Peru,GUS,Grissom AFB,US,67
United States,Petersburg,PSG,Municipal,US,67
United States,Petersburg,FLE,Fort Lee AAF,US,67
United States,Petersburg,PTB,Municipal,US,67
United States,Petersburg,PGC,Grant County,US,67
United States,Philadelphia,PHL,Philadelphia International,US,67
United States,Philadelphia,MUV,Mustin Alf,US,67
United States,Philadelphia,ZHC,N Philadelphia Rail St,US,67
United States,Philadelphia,PNE,North Philadelphia,US,67
United States,Philadelphia,ZFV,Philadelphia Rail,US,67
United States,Philadelphia,PSQ,SPB,US,67
United States,Philadelphia,ZTN,Trenton Rail STN,US,67
United States,Philadelphia,TTN,Trenton-Mercer,US,67
United States,Philip,PHP,Philip,US,67
United States,Phoenix,LUF,Luke Afb,US,67
United States,Phoenix,DVT,Phoenix-Deer Valley,US,67
United States,Phoenix,SCF,Scottsdale Municipal,US,67
United States,Phoenix,PHX,Sky Harbor Intl,US,67
United States,Picayune,PCU,Pearl River County,US,67
United States,Pickens,LQK,Pickens,US,67
United States,Pierre,PIR,Pierre,US,67
United States,Pilot Point,PIP,Pilot Point Arpt,US,67
United States,Pilot Point,UGB,Ugashik Bay,US,67
United States,Pilot Station,PQS,Pilot Station,US,67
United States,Pine Bluff,PBF,Grider Field,US,67
United States,Pine Mountain,PIM,Garden Harris County,US,67
United States,Pine Ridge,XPR,Pine Ridge,US,67
United States,Pittsburg,PTS,Municipal,US,67
United States,Pittsburgh,AGC,Allegheny County,US,67
United States,Pittsburgh,CVA,Civic Ar Heli,US,67
United States,Pittsfield,PSF,Pittsfield,US,67
United States,Placerville,PVF,Placerville,US,67
United States,Plainview,PVW,Hale County,US,67
United States,Platinum,PTU,Platinum,US,67
United States,Plattsburgh,PBG,AFB,US,67
United States,Plattsburgh,PLB,Clinton County,US,67
United States,Pleasant Harbour,PTR,Pleasant Harbour,US,67
United States,Pleasanton,JBS,Hacienda Bus.Park H/P,US,67
United States,Plentywood,PWD,Sherwood,US,67
United States,Plymouth,PLY,Plymouth,US,67
United States,Plymouth,PYM,Plymouth,US,67
United States,Pocahontas,POH,Municipal,US,67
United States,Pocatello,PIH,Pocatello,US,67
United States,Pohakuloa,BSF,Bradshaw AAF,US,67
United States,Point Baker,KPB,Point Baker SPB,US,67
United States,Point Hope,PHO,Point Hope,US,67
United States,Point Lay,PIZ,Dew Station,US,67
United States,Point Retreat,PRT,Coast Guard Heliport,US,67
United States,Polacca,PXL,Polacca,US,67
United States,Polk Inlet,POQ,Polk Inlet,US,67
United States,Pompano Beach,PPM,Pompano Beach,US,67
United States,Ponca City,PNC,Ponca City,US,67
United States,Pontiac,PTK,Pontiac,US,67
United States,Pope Vanoy,PVY,Pope Vanoy,US,67
United States,Poplar Bluff,POF,Earl Fields Memorial,US,67
United States,Porcupine Creek,PCK,Porcupine Creek,US,67
United States,Port Alexander,PTD,Port Alexander,US,67
United States,Port Alice,PTC,Port Alice,US,67
United States,Port Alsworth,PTA,Port Alsworth,US,67
United States,Port Angeles,CLM,Fairchild Intl,US,67
United States,Port Armstrong,PTL,Port Armstrong,US,67
United States,Port Bailey,KPY,Port Bailey SPB,US,67
United States,Port Clarence,KPC,Port Clarence,US,67
United States,Port Frederick,PFD,Port Frederick,US,67
United States,Port Graham,PGM,Port Graham,US,67
United States,Port Heiden,PTH,Port Heiden,US,67
United States,Port Hueneme,NTD,Point Mugu NAS,US,67
United States,Port Huron,PHN,St Clair County Intl,US,67
United States,Port Johnson,PRF,Port Johnson,US,67
United States,Port Lions,ORI,Port Lions SPB,US,67
United States,Port Moller,PML,AFS,US,67
United States,Port Oceanic,PRL,Port Oceanic,US,67
United States,Port Protection,PPV,Port Protection,US,67
United States,Port San Juan,PJS,Port San Juan,US,67
United States,Port Townsend,TWD,Port Townsend,US,67
United States,Port Walter,PWR,Port Walter,US,67
United States,Port Williams,KPR,Port Williams SPB,US,67
United States,Portage Creek,PCA,Portage Creek,US,67
United States,Porterville,PTV,Porterville,US,67
United States,Portland,PWM,Intl Jetport,US,67
United States,Portland,PDX,Portland International,US,67
United States,Portsmouth,PMH,Regional,US,67
United States,Poteau,RKR,Robert S Kerr,US,67
United States,Pottstown,PTW,Pottstown/Limerick,US,67
United States,Poughkeepsie,POU,Dutchess County,US,67
United States,Poulsbo,PUL,Poulsbo,US,67
United States,Powell,POY,Powell,US,67
United States,Prairie Du Chien,PCD,Municipal,US,67
United States,Pratt,PTT,Pratt,US,67
United States,Prentice,PRW,Prentice,US,67
United States,Prescott,PRC,Prescott,US,67
United States,Presque Isle,PQI,Municipal,US,67
United States,Price,PUC,Carbon County,US,67
United States,Princeton,PNN,Princeton,US,67
United States,Princeton,PCT,Princeton,US,67
United States,Princeton,ZTJ,Princeton JT Rail,US,67
United States,Princeton,BLF,Princeton,US,67
United States,Prineville,PRZ,Prineville,US,67
United States,Prospect Creek,PPC,Prospect Creek,US,67
United States,Providence,ZRV,Providence Rail,US,67
United States,Providence,PVD,T. F. Green,US,67
United States,Provincetown,PVC,Provincetown,US,67
United States,Provo,PVU,Provo,US,67
